event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market,spread_f1,spread_f2
2023-10-15 17:01:00,BetMGM,Cleveland Browns,San Francisco 49ers,-110,-110,spreads,6.5,-6.5
2023-10-15 17:01:00,Barstool Sportsbook,Cleveland Browns,San Francisco 49ers,240,-290,h2h,,
2023-10-15 17:01:00,Barstool Sportsbook,Cleveland Browns,San Francisco 49ers,-115,-105,spreads,6.5,-6.5
2023-10-15 17:01:00,FanDuel,Houston Texans,New Orleans Saints,106,-124,h2h,,
2023-10-15 17:01:00,FanDuel,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,BetUS,Houston Texans,New Orleans Saints,-110,-110,spreads,1.0,-1.0
2023-10-15 17:01:00,DraftKings,Houston Texans,New Orleans Saints,105,-125,h2h,,
2023-10-15 17:01:00,DraftKings,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,SuperBook,Houston Texans,New Orleans Saints,100,-120,h2h,,
2023-10-15 17:01:00,SuperBook,Houston Texans,New Orleans Saints,-110,-110,spreads,1.0,-1.0
2023-10-15 17:01:00,Caesars,Houston Texans,New Orleans Saints,105,-125,h2h,,
2023-10-15 17:01:00,Caesars,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,LowVig.ag,Houston Texans,New Orleans Saints,103,-123,h2h,,
2023-10-15 17:01:00,LowVig.ag,Houston Texans,New Orleans Saints,-105,-105,spreads,1.0,-1.0
2023-10-15 17:01:00,BetOnline.ag,Houston Texans,New Orleans Saints,103,-123,h2h,,
2023-10-15 17:01:00,BetOnline.ag,Houston Texans,New Orleans Saints,-110,-110,spreads,1.0,-1.0
2023-10-15 17:01:00,Bovada,Houston Texans,New Orleans Saints,105,-125,h2h,,
2023-10-15 17:01:00,Bovada,Houston Texans,New Orleans Saints,-115,-105,spreads,1.5,-1.5
2023-10-15 17:01:00,BetRivers,Houston Texans,New Orleans Saints,105,-127,h2h,,
2023-10-15 17:01:00,BetRivers,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,Unibet,Houston Texans,New Orleans Saints,105,-127,h2h,,
2023-10-15 17:01:00,Unibet,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,TwinSpires,Houston Texans,New Orleans Saints,105,-127,h2h,,
2023-10-15 17:01:00,TwinSpires,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,MyBookie.ag,Houston Texans,New Orleans Saints,-101,-121,h2h,,
2023-10-15 17:01:00,MyBookie.ag,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,WynnBET,Houston Texans,New Orleans Saints,100,-116,h2h,,
2023-10-15 17:01:00,WynnBET,Houston Texans,New Orleans Saints,-110,-110,spreads,1.0,-1.0
2023-10-15 17:01:00,BetMGM,Houston Texans,New Orleans Saints,105,-125,h2h,,
2023-10-15 17:01:00,BetMGM,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,PointsBet (US),Houston Texans,New Orleans Saints,105,-125,h2h,,
2023-10-15 17:01:00,PointsBet (US),Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,Barstool Sportsbook,Houston Texans,New Orleans Saints,100,-120,h2h,,
2023-10-15 17:01:00,Barstool Sportsbook,Houston Texans,New Orleans Saints,-110,-110,spreads,1.5,-1.5
2023-10-15 17:01:00,FanDuel,Indianapolis Colts,Jacksonville Jaguars,176,-210,h2h,,
2023-10-15 17:01:00,FanDuel,Indianapolis Colts,Jacksonville Jaguars,-115,-105,spreads,4.5,-4.5
2023-10-15 17:01:00,BetUS,Indianapolis Colts,Jacksonville Jaguars,172,-205,h2h,,
2023-10-15 17:01:00,BetUS,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,DraftKings,Indianapolis Colts,Jacksonville Jaguars,164,-198,h2h,,
2023-10-15 17:01:00,DraftKings,Indianapolis Colts,Jacksonville Jaguars,-108,-112,spreads,4.0,-4.0
2023-10-15 17:01:00,SuperBook,Indianapolis Colts,Jacksonville Jaguars,170,-200,h2h,,
2023-10-15 17:01:00,SuperBook,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,Caesars,Indianapolis Colts,Jacksonville Jaguars,175,-210,h2h,,
2023-10-15 17:01:00,Caesars,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,LowVig.ag,Indianapolis Colts,Jacksonville Jaguars,175,-205,h2h,,
2023-10-15 17:01:00,LowVig.ag,Indianapolis Colts,Jacksonville Jaguars,-104,-106,spreads,4.0,-4.0
2023-10-15 17:01:00,BetOnline.ag,Indianapolis Colts,Jacksonville Jaguars,175,-204,h2h,,
2023-10-15 17:01:00,BetOnline.ag,Indianapolis Colts,Jacksonville Jaguars,-109,-111,spreads,4.0,-4.0
2023-10-15 17:01:00,Bovada,Indianapolis Colts,Jacksonville Jaguars,170,-200,h2h,,
2023-10-15 17:01:00,Bovada,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,BetRivers,Indianapolis Colts,Jacksonville Jaguars,170,-210,h2h,,
2023-10-15 17:01:00,BetRivers,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,Unibet,Indianapolis Colts,Jacksonville Jaguars,170,-210,h2h,,
2023-10-15 17:01:00,Unibet,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,TwinSpires,Indianapolis Colts,Jacksonville Jaguars,170,-210,h2h,,
2023-10-15 17:01:00,TwinSpires,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,MyBookie.ag,Indianapolis Colts,Jacksonville Jaguars,167,-207,h2h,,
2023-10-15 17:01:00,MyBookie.ag,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,PointsBet (US),Indianapolis Colts,Jacksonville Jaguars,165,-200,h2h,,
2023-10-15 17:01:00,PointsBet (US),Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,BetMGM,Indianapolis Colts,Jacksonville Jaguars,165,-200,h2h,,
2023-10-15 17:01:00,BetMGM,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,Barstool Sportsbook,Indianapolis Colts,Jacksonville Jaguars,175,-210,h2h,,
2023-10-15 17:01:00,Barstool Sportsbook,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 17:01:00,WynnBET,Indianapolis Colts,Jacksonville Jaguars,170,-200,h2h,,
2023-10-15 17:01:00,WynnBET,Indianapolis Colts,Jacksonville Jaguars,-110,-110,spreads,4.0,-4.0
2023-10-15 20:05:00,FanDuel,Las Vegas Raiders,New England Patriots,-172,144,h2h,,
2023-10-15 20:05:00,FanDuel,Las Vegas Raiders,New England Patriots,-118,-104,spreads,-3.0,3.0
2023-10-15 20:05:00,BetUS,Las Vegas Raiders,New England Patriots,-175,150,h2h,,
2023-10-15 20:05:00,BetUS,Las Vegas Raiders,New England Patriots,-115,-105,spreads,-3.0,3.0
2023-10-15 20:05:00,DraftKings,Las Vegas Raiders,New England Patriots,-166,140,h2h,,
2023-10-15 20:05:00,DraftKings,Las Vegas Raiders,New England Patriots,-115,-105,spreads,-3.0,3.0
2023-10-15 20:05:00,SuperBook,Las Vegas Raiders,New England Patriots,-180,150,h2h,,
2023-10-15 20:05:00,SuperBook,Las Vegas Raiders,New England Patriots,-120,100,spreads,-3.0,3.0
