event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market
2023-11-18 21:00:00,MyBookie.ag,Matteo Signani,Tyler Denny,192,-277,h2h
2023-11-18 22:00:00,BetUS,Adam Azim,Franck Petitjean,-1665,815,h2h
2023-11-18 22:00:00,DraftKings,Adam Azim,Franck Petitjean,-1600,750,h2h
2023-11-18 22:00:00,MyBookie.ag,Adam Azim,Franck Petitjean,-1666,651,h2h
2023-11-18 22:00:00,BetUS,Isaac Dogboe,Nick Ball,215,-265,h2h
2023-11-19 03:00:00,BetUS,Erika Cruz Hernandez,Mayerlin Rivas,-323,248,h2h
2023-11-19 05:00:00,FanDuel,Diego Pacheco,Marcelo Esteban Coceres,-1800,940,h2h
2023-11-19 05:00:00,BetUS,Diego Pacheco,Marcelo Esteban Coceres,-1667,817,h2h
2023-11-19 05:00:00,DraftKings,Diego Pacheco,Marcelo Esteban Coceres,-1800,800,h2h
2023-11-25 19:00:28,FanDuel,Chantelle Cameron,Katie Taylor,-182,142,h2h
2023-11-25 19:00:28,BetUS,Chantelle Cameron,Katie Taylor,-180,150,h2h
2023-11-25 19:00:28,DraftKings,Chantelle Cameron,Katie Taylor,-185,145,h2h
2023-11-25 19:00:28,BetRivers,Chantelle Cameron,Katie Taylor,-186,140,h2h
2023-11-25 19:00:28,Unibet,Chantelle Cameron,Katie Taylor,-186,140,h2h
2023-11-25 19:00:28,BetMGM,Chantelle Cameron,Katie Taylor,-190,160,h2h
2023-11-25 19:00:28,BetOnline.ag,Chantelle Cameron,Katie Taylor,-175,145,h2h
2023-11-25 19:00:28,LowVig.ag,Chantelle Cameron,Katie Taylor,-175,145,h2h
2023-12-03 04:00:00,LowVig.ag,Oscar Duarte Jurado,Ryan Garcia,260,-350,h2h
2023-12-03 04:00:00,BetOnline.ag,Oscar Duarte Jurado,Ryan Garcia,260,-345,h2h
2023-12-03 04:00:00,BetUS,Oscar Duarte Jurado,Ryan Garcia,300,-400,h2h
2023-12-10 04:00:00,FanDuel,Rafael Espinoza,Robeisy Ramirez,710,-1300,h2h
2023-12-10 05:00:00,BetUS,Devin Haney,Regis Prograis,-325,235,h2h
2023-12-10 05:00:00,DraftKings,Devin Haney,Regis Prograis,-320,240,h2h
2023-12-10 05:00:00,BetMGM,Devin Haney,Regis Prograis,-350,275,h2h
2023-12-10 05:00:00,BetOnline.ag,Devin Haney,Regis Prograis,-370,275,h2h
2023-12-10 05:00:00,LowVig.ag,Devin Haney,Regis Prograis,-375,275,h2h
2023-12-17 04:00:00,BetUS,Jesse Rodriguez,Sunny Edwards,-215,175,h2h
2023-12-17 04:00:00,DraftKings,Jesse Rodriguez,Sunny Edwards,-215,165,h2h
2023-12-17 04:00:00,BetOnline.ag,Jesse Rodriguez,Sunny Edwards,-200,160,h2h
2023-12-17 04:00:00,LowVig.ag,Jesse Rodriguez,Sunny Edwards,-200,160,h2h
2023-12-17 04:00:00,FanDuel,Jesse Rodriguez,Sunny Edwards,-176,138,h2h
2023-12-17 04:00:00,BetMGM,Jesse Rodriguez,Sunny Edwards,-190,160,h2h
2023-12-23 22:00:00,DraftKings,Oleksandr Usyk,Tyson Fury,185,-245,h2h
2023-12-23 22:00:00,BetOnline.ag,Oleksandr Usyk,Tyson Fury,190,-238,h2h
2023-12-23 22:00:00,LowVig.ag,Oleksandr Usyk,Tyson Fury,190,-240,h2h
2023-12-31 00:00:00,Bovada,Errol Spence Jr,Terence Crawford,325,-500,h2h
2024-01-14 04:00:00,DraftKings,Artur Beterbiev,Callum Smith,-350,255,h2h
2024-01-14 04:00:00,MyBookie.ag,Artur Beterbiev,Callum Smith,-370,241,h2h
2024-01-14 04:00:00,Barstool Sportsbook,Artur Beterbiev,Callum Smith,-350,250,h2h
2024-12-31 00:00:00,FanDuel,Oleksandr Usyk,Tyson Fury,180,-235,h2h
