FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
Dustin Kimura,67.0,135.0,71.0,Orthodox,5,2,0,3,0,2888,0.0,7.0,1.0,211,64,301,86,326,3,8,36,256,21,33,7,12,50,278,7,10,7,13,2.0,1.0,1.0,1018.0,184.0,381.0,221.0,429.0,5.0,10.0,125.0,304.0,42.0,57.0,17.0,20.0,104.0,247.0,32.0,54.0,48.0,80.0,0.59
Dustin Neace,69.0,145.0,69.0,Orthodox,1,0,0,1,0,518,0.0,1.0,0.0,55,18,55,35,72,0,1,10,47,4,4,4,4,15,51,0,1,3,3,0.0,1.0,0.0,185.0,23.0,53.0,32.0,65.0,3.0,3.0,13.0,41.0,2.0,4.0,8.0,8.0,22.0,52.0,0.0,0.0,1.0,1.0,0.0
Dustin Ortiz,65.0,125.0,65.0,Orthodox,14,8,0,6,0,10467,2.0,1.0,11.0,3673,513,1149,1124,1831,35,97,300,870,157,205,56,74,200,738,137,190,176,221,2.0,15.0,7.0,3031.0,378.0,867.0,611.0,1135.0,36.0,76.0,210.0,640.0,84.0,125.0,84.0,102.0,249.0,693.0,81.0,111.0,48.0,63.0,1.6
Dustin Pague,69.0,135.0,74.0,Orthodox,6,1,0,5,0,3501,0.0,10.0,2.0,787,96,179,163,259,4,9,54,128,18,23,24,28,58,133,13,15,25,31,2.0,1.0,4.0,1724.0,173.0,294.0,350.0,501.0,4.0,9.0,121.0,236.0,14.0,19.0,38.0,39.0,81.0,166.0,25.0,27.0,67.0,101.0,0.16
Dustin Poirier,69.0,155.0,72.0,Southpaw,31,22,0,8,1,19392,14.0,24.0,4.0,4194,1752,3467,2114,3872,28,77,1396,3009,176,239,180,219,1313,2801,277,413,162,253,3.0,30.0,3.0,4151.0,1429.0,3037.0,1927.0,3594.0,34.0,92.0,945.0,2405.0,300.0,411.0,184.0,221.0,1103.0,2600.0,197.0,276.0,129.0,161.0,0.82
Dustin Stoltzfus,72.0,185.0,75.0,Orthodox,7,2,0,5,0,4152,1.0,4.0,2.0,1057,242,564,429,770,11,28,134,434,55,71,53,59,197,498,25,33,20,33,2.0,5.0,0.0,856.0,238.0,448.0,305.0,531.0,6.0,12.0,181.0,379.0,35.0,42.0,22.0,27.0,202.0,399.0,22.0,27.0,14.0,22.0,0.76
Dwayne Cason,70.0,212.0,72.0,Orthodox,2,1,0,1,0,276,0.0,0.0,0.0,0,11,22,25,36,1,1,11,22,0,0,0,0,0,0,0,0,11,22,0.0,1.0,0.0,0.0,6.0,9.0,20.0,26.0,1.0,1.0,5.0,7.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,5.0,6.0,0.6
Dwight Grant,73.0,185.0,76.0,Switch,8,3,0,5,0,5498,3.0,0.0,0.0,134,287,826,319,865,4,4,185,689,44,66,58,71,242,748,15,18,30,60,5.0,1.0,0.0,938.0,237.0,607.0,330.0,718.0,10.0,29.0,123.0,459.0,58.0,79.0,56.0,69.0,194.0,539.0,13.0,20.0,30.0,48.0,0.15
Dylan Andrews,73.0,185.0,74.0,Switch,5,2,0,3,0,2224,3.0,1.0,0.0,347,82,163,116,200,7,14,48,115,19,25,15,23,45,115,19,25,18,23,0.0,4.0,1.0,996.0,101.0,190.0,151.0,243.0,6.0,14.0,77.0,158.0,18.0,24.0,6.0,8.0,54.0,130.0,21.0,31.0,26.0,29.0,0.5
Dylan Budka,72.0,185.0,75.0,Switch,2,0,0,2,0,1333,0.0,0.0,0.0,353,18,58,29,70,3,6,14,52,4,4,0,2,14,54,4,4,0,0,0.0,0.0,0.0,572.0,52.0,84.0,165.0,210.0,3.0,5.0,37.0,65.0,12.0,16.0,3.0,3.0,24.0,49.0,20.0,22.0,8.0,13.0,0.0
Ebenezer Fontes Braga,72.0,199.0,72.0,Orthodox,1,1,0,0,0,207,0.0,1.0,0.0,0,9,16,17,26,1,1,6,11,1,3,2,2,2,2,5,10,2,4,0.0,0.0,0.0,0.0,3.0,5.0,11.0,13.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.8
Ed Herman,73.0,205.0,77.0,Orthodox,26,13,0,12,1,15403,4.0,17.0,6.0,4224,851,1744,1480,2429,34,71,536,1363,214,262,101,119,423,1134,237,336,191,274,8.0,19.0,7.0,4510.0,951.0,1652.0,1407.0,2153.0,24.0,62.0,631.0,1266.0,172.0,222.0,148.0,164.0,612.0,1191.0,189.0,239.0,150.0,222.0,1.11
